Title,Text,Label
Rak Buku Kecil,"Daripada dibuang, kardus bisa dikreasikan menjadi rak buku kecil yang cantik. Persiapkan terlebih dahulu Lilin dan Benang. Berikut panduan lengkap pembuatannya: Tahap 1: potong kardus bekas menjadi ukuran sesuai kebutuhan Tahap 2: tambahkan lilin Tahap 3: benang Tahap 4: jadikan rak buku kecil. Begitu mudahnya mengubah kardus menjadi rak buku kecil. Ayo dicoba!",Kertas
Ayunan Anak,"Daripada dibuang, ban bisa dikreasikan menjadi ayunan anak yang cantik. Sebelum mulai, pastikan Anda memiliki: Lilin, Paku dan Benang. Ikuti langkah-langkah pembuatan berikut: Tahap 1: susun ban bekas sesuai pola Tahap 2: tambahkan lilin Tahap 3: paku Tahap 4: benang untuk menghias dan menjadikannya ayunan anak. Dengan kreativitas, ban bisa menjadi ayunan anak yang berguna.",Karet
Lampu Hias,"Mari mengubah botol plastik menjadi sesuatu yang bernilai dengan membuat lampu hias. Kumpulkan bahan-bahan berikut ini: Benang, Kain, Lilin dan Gunting. Cara membuatnya cukup mudah: (1) potong botol plastik menjadi ukuran sesuai kebutuhan (2) tambahkan benang (3) kain (4) lilin (5) gunting (6) jadikan lampu hias. Selamat mencoba! Semoga berhasil membuat lampu hias yang bagus.",Plastik
Hiasan Mozaik,Ingin mendaur ulang pecahan kaca? Anda bisa membuatnya menjadi hiasan mozaik yang menarik! Persiapkan terlebih dahulu Lilin dan Kapas. Cara membuatnya cukup mudah: 1. bersihkan pecahan kaca 2. gunakan lilin 3. kapas untuk memperkuat struktur dan ubah menjadi hiasan mozaik. Mudah bukan? Sekarang pecahan kaca Anda sudah menjadi hiasan mozaik yang bermanfaat.,Kaca
Hiasan Dinding,"Berikut ide kreatif untuk memanfaatkan kain perca menjadi kerajinan yang berguna. Bahan yang diperlukan cukup sederhana: Benang, Lilin, Gunting dan Kayu. Berikut panduan lengkap pembuatannya: 1. potong kain perca menjadi ukuran sesuai kebutuhan 2. tambahkan benang 3. lilin 4. gunting 5. kayu 6. jadikan hiasan dinding. Mudah bukan? Sekarang kain perca Anda sudah menjadi hiasan dinding yang bermanfaat.",Tekstil
Mainan Baru,"Daripada dibuang, mainan bisa dikreasikan menjadi mainan baru yang cantik. Sebelum mulai, pastikan Anda memiliki: Lem dan Stiker. Berikut panduan lengkap pembuatannya: Tahap 1: potong mainan bekas menjadi ukuran sesuai kebutuhan Tahap 2: tambahkan lem Tahap 3: stiker Tahap 4: jadikan mainan baru. Begitu mudahnya mengubah mainan menjadi mainan baru. Ayo dicoba!",Lainnya
Tempat Penyimpanan,Berikut ide kreatif untuk memanfaatkan kardus menjadi kerajinan yang berguna. Kumpulkan bahan-bahan berikut ini: Lilin dan Benang. Cara membuatnya cukup mudah: Langkah 1: susun kardus bekas sesuai pola Langkah 2: tambahkan lilin Langkah 3: benang untuk menghias dan menjadikannya tempat penyimpanan. Mudah bukan? Sekarang kardus Anda sudah menjadi tempat penyimpanan yang bermanfaat.,Kertas
Hiasan Dinding,"Ingin mendaur ulang kain perca? Anda bisa membuatnya menjadi hiasan dinding yang menarik! Bahan yang diperlukan cukup sederhana: Lilin, Kayu, Kain dan Benang. Proses pembuatan bisa dilakukan dengan cara berikut: Langkah 1: susun kain perca sesuai pola Langkah 2: tambahkan lilin Langkah 3: kayu Langkah 4: kain Langkah 5: benang untuk menghias dan menjadikannya hiasan dinding. Begitu mudahnya mengubah kain perca menjadi hiasan dinding. Ayo dicoba!",Tekstil
Kerajinan Kayu,"Punya rak buku rusak yang tidak terpakai? Yuk, sulap menjadi kerajinan kayu! Kumpulkan bahan-bahan berikut ini: Stiker, Benang dan Gunting. Ikuti langkah-langkah pembuatan berikut: (1) bersihkan rak buku rusak (2) gunakan stiker (3) benang (4) gunting untuk memperkuat struktur dan ubah menjadi kerajinan kayu. Selamat mencoba! Semoga berhasil membuat kerajinan kayu yang bagus.",Kayu
Dekorasi Meja,"Daripada dibuang, styrofoam bisa dikreasikan menjadi dekorasi meja yang cantik. Sebelum mulai, pastikan Anda memiliki: Kain dan Cat. Cara membuatnya cukup mudah: (1) bersihkan styrofoam (2) gunakan kain (3) cat untuk memperkuat struktur dan ubah menjadi dekorasi meja. Dengan kreativitas, styrofoam bisa menjadi dekorasi meja yang berguna.",Plastik
